accuracy,f1,n_estimators,max_depth,min_samples_leaf,bootstrap,criterion,predictors,predictor importances,Random Sampling
0.7608413745756893,0.716317817440172,15,6,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0014371925412874835, 0.49432780055266423, 0.47137533581225827, 0.03285967109379003]",0.0
0.7805980395896106,0.7391329681356694,15,7,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0022870534611502385, 0.4608596624554268, 0.5037611681983786, 0.03309211588504444]",0.0
0.7940806285518136,0.7589915202234538,15,8,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.002147304224691427, 0.4641822630075092, 0.5035148761338478, 0.030155556633951686]",0.0
0.8083260231130096,0.7823388154638052,15,9,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0028872443338959033, 0.48608928821861863, 0.4764204094386602, 0.03460305800882527]",0.0
0.8130172775468172,0.788690279489963,15,10,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.003702011221296294, 0.48355217561408287, 0.4783692060058989, 0.03437660715872183]",0.0
0.8140279949654831,0.7906676401779876,15,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005177908429806592, 0.46893157991869666, 0.48987771922302326, 0.0360127924284736]",0.0
0.8147145200045768,0.7931883337024623,15,13,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.007785687341862975, 0.47020866272734, 0.4807251455832785, 0.04128050434751852]",0.0
0.8142949769251306,0.7928425735303948,15,14,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.009349831372701383, 0.5009955727165173, 0.4458166950558501, 0.04383790085493123]",0.0
0.8133223997864144,0.7904955334895251,15,12,4,False,gini,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005646038316245594, 0.4709050902339523, 0.48612612388190074, 0.03732274756790131]",0.0
0.8150577825241238,0.7933020903237535,15,12,4,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.008177663795059431, 0.4818614242336695, 0.47036365989132484, 0.039597252079946264]",0.0
